parental genotype,generation,dob,exposure,concentration (ug/L),transgene (Y/N),plate,well,object number,Size,Area,"Mean[Stitched[GFP 469,525]]",total GFP,Mean[Stitched[Bright Field]],"StdDev[Stitched[GFP 469,525]]","Peak[Stitched[GFP 469,525]]","Integral[Stitched[GFP 469,525]]",StdDev[Stitched[Bright Field]],,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,A1,34,32.5,824,21513,17726712,10373,6365,38166,5829890,1846,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,A2,9,23,408,20911,8531688,5205,3756,28468,2802064,860,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,A2,10,38.2,1.14E+03,27905,31811700,666,9840,52489,10492299,536,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,A3,5,45.6,1.59E+03,43011,68387490,316,14881,65504,22451639,148,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,A3,7,45.1,1.45E+03,28132,40791400,622,1611,33635,13419180,352,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,A4,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,B1,22,22.8,398,19915,7926170,11135,4482,29325,2608910,2487,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,B1,23,40.7,1.27E+03,26965,34245550,7235,9883,50834,11217302,3095,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,B2,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,B3,8,35.1,955,25348,24207340,1507,8355,45699,7959350,925,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,B3,9,19.2,286,16951,4847986,7037,1947,20813,1593347,1237,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,B3,10,29,651,21478,13982178,5359,5283,32914,4596347,1241,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,B4,19,21.4,353,15608,5509624,9300,2832,22038,1810563,1827,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,B4,21,47.7,1.79E+03,20685,37026150,12149,6836,37952,12162781,2431,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,B4,22,16,195,12747,2485665,8787,871,14758,815811,2502,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,N,25,C1,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,C2,8,37.2,1.07E+03,11788,12613160,672,2724,18391,4149300,417,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,C2,11,15.4,183,11015,2015745,8139,1948,14771,660906,1266,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,C2,13,15.3,179,10996,1968284,6334,2063,16319,648758,639,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,C3,6,43.7,1.44E+03,16513,23778720,6283,9563,49535,7826967,1182,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,C3,7,31.8,782,9941,7773862,5655,2157,16532,2554845,774,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,C3,8,30.6,697,9336,6507192,5747,2267,18719,2137858,841,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,25,C4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,26,A1,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,26,A2,20,30.3,697,25004,17427788,5350,8604,55525,5725991,2082,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,26,A3,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,26,A4,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,26,B1,85,15.3,183,12553,2297199,11178,671,14059,753183,954,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,26,B1,86,19.6,259,14209,3680131,5206,1558,18174,1207728,1352,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,26,B1,87,21.1,322,15371,4949462,1152,2292,20673,1629338,420,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,26,B1,88,37.5,1.09E+03,40241,43862690,1496,21298,65504,14446582,1210,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,26,B2,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,26,B3,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,26,B4,10,17.5,231,21948,5069988,7060,2746,27757,1668021,1153,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,26,B4,11,36,1.02E+03,24350,24837000,7622,5057,36666,8132779,1862,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,26,C1,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,26,C2,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,26,C3,8,31.9,800,22049,17639200,9871,4653,33052,5798989,1981,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,26,C4,12,26.4,544,18991,10331104,8509,1392,22736,3399381,1346,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,26,C4,13,26.1,529,22520,11913080,8693,3643,30732,3918422,1301,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,26,C4,14,16.2,201,17409,3499209,8974,1037,19841,1148961,982,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,26,C4,15,36.2,1.00E+03,22073,22073000,12352,4250,32045,7284021,2277,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,A1,15,21.5,350,19497,6823950,7532,3187,26884,2242185,1436,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,A1,16,20,313,19475,6095675,5537,3039,26813,2005935,1437,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,A1,17,38.8,1.11E+03,41110,45632100,9480,18092,65504,14964097,2939,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,N,27,A2,,,,,0,,,,,,,,,,,,,,
