parental genotype,generation,dob,exposure,concentration (ug/L),transgene (Y/N),plate,well,hatched (dpf),missing,mortality (dpf),deformity (dpf),heart rate (bpm),"1dpf Mean [GFP 469,525]","1dpf Min [GFP 469,525]","1dpf Max [GFP 469,525]","1dpf Std Dev [GFP 469,525]","1dpf CV [GFP 469,525]","1dpf Saturated Pixels Pct [GFP 469,525]","1dpf Total Intensity [GFP 469,525]","2dpf Mean [GFP 469,525]","2dpf Min [GFP 469,525]","2dpf Max [GFP 469,525]","2dpf Std Dev [GFP 469,525]","2dpf CV [GFP 469,525]","2dpf Saturated Pixels Pct [GFP 469,525]","2dpf Total Intensity [GFP 469,525]","3dpf Mean [GFP 469,525]","3dpf Min [GFP 469,525]","3dpf Max [GFP 469,525]","3dpf Std Dev [GFP 469,525]","3dpf CV [GFP 469,525]","3dpf Saturated Pixels Pct [GFP 469,525]","3dpf Total Intensity [GFP 469,525]","4dpf Mean [GFP 469,525]","4dpf Min [GFP 469,525]","4dpf Max [GFP 469,525]","4dpf Std Dev [GFP 469,525]","4dpf CV [GFP 469,525]","4dpf Saturated Pixels Pct [GFP 469,525]","4dpf Total Intensity [GFP 469,525]","5dpf Mean [GFP 469,525]","5dpf Min [GFP 469,525]","5dpf Max [GFP 469,525]","5dpf Std Dev [GFP 469,525]","5dpf CV [GFP 469,525]","5dpf Saturated Pixels Pct [GFP 469,525]","5dpf Total Intensity [GFP 469,525]","6dpf Mean [GFP 469,525]","6dpf Min [GFP 469,525]","6dpf Max [GFP 469,525]","6dpf Std Dev [GFP 469,525]","6dpf CV [GFP 469,525]","6dpf Saturated Pixels Pct [GFP 469,525]","6dpf Total Intensity [GFP 469,525]","7dpf Mean [GFP 469,525]","7dpf Min [GFP 469,525]","7dpf Max [GFP 469,525]","7dpf Std Dev [GFP 469,525]","7dpf CV [GFP 469,525]","7dpf Saturated Pixels Pct [GFP 469,525]","7dpf Total Intensity [GFP 469,525]","8dpf Mean [GFP 469,525]","8dpf Min [GFP 469,525]","8dpf Max [GFP 469,525]","8dpf Std Dev [GFP 469,525]","8dpf CV [GFP 469,525]","8dpf Saturated Pixels Pct [GFP 469,525]","8dpf Total Intensity [GFP 469,525]","9dpf Mean [GFP 469,525]","9dpf Min [GFP 469,525]","9dpf Max [GFP 469,525]","9dpf Std Dev [GFP 469,525]","9dpf CV [GFP 469,525]","9dpf Saturated Pixels Pct [GFP 469,525]","9dpf Total Intensity [GFP 469,525]","10dpf Mean [GFP 469,525]","10dpf Min [GFP 469,525]","10dpf Max [GFP 469,525]","10dpf Std Dev [GFP 469,525]","10dpf CV [GFP 469,525]","10dpf Saturated Pixels Pct [GFP 469,525]","10dpf Total Intensity [GFP 469,525]"
TRAR11xAB,F2,2026-03-22,BPS,0,N,1,A1,3,,,,,1933,1,15359,1234,63.854,0,4293261819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1,65504,5431,389.3,0.108,3099117970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,1,A2,3,,12,,,3562,1,65443,6867,192.783,0.006,7913126601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304,1,65504,3513,269.396,0.002,2896572163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,1,A3,3,,14,,120,2357,1,39666,4336,183.979,0,5235720245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596,1,65504,4639,290.671,0.012,3545090934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,1,A4,3,,11,,,2506,1,50506,4759,189.942,0,5565986864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083,1,65504,3709,342.391,0.008,2406210951,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,1,B1,3,,11,,,3079,1,44210,5573,181.015,0,6839077290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366,1,65504,3730,273.059,0.017,3034765173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,1,B2,3,,12,,,1570,1,13767,1088,69.3,0,3488124159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,1,B3,3,,14,,114,2642,1,41588,4274,161.781,0,5868117671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,1,33744,1932,260.845,0,1645389403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,1,B4,3,,13,,,2020,1,23483,1338,66.269,0,4486629391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,1,65504,2424,306.047,0,1759184698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,N,1,C1,2,,,,138,1766,1,10196,1107,62.658,0,3922928058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,1,46474,2646,338.787,0,1735133992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,N,1,C2,3,,13,,,2509,1,28737,2832,112.893,0,5573026047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1733,1,65504,6056,349.479,0.077,3849195803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
