Image,parental genotype,generation,dob,exposure,concentration (g/L),day post fettilization (dpf),ThyroidMean,ThyroidArea,ThyroidIntDen,BackgroundMean,BackgroundArea,CTCF
0.0001gL_5dpf_fish4.tif,TRAR11xAB,F2,2026-05-19,PTU,0.0001,5,9760.4562,33300,325023190,2920.2108,7656,227780170
0.0001gL_5dpf_fish5.tif,TRAR11xAB,F2,2026-05-19,PTU,0.0001,5,14308.6626,8326,119133925,3455.2943,12285,90365144.3
0.0001gL_6dpf_fish10.tif,TRAR11xAB,F2,2026-05-19,PTU,0.0001,6,20972.149,16896,354345429,4894.7056,8268,271644483
0.0001gL_8dpf_fish4.tif,TRAR11xAB,F2,2026-05-19,PTU,0.0001,8,6130.9904,27370,167805208,5103.5169,12096,28121951.4
0.0001gL_9dpf_fish1.tif,TRAR11xAB,F2,2026-05-19,PTU,0.0001,9,10752.2538,14040,150961643,4586.0611,9900,86573345
0.0001gL_9dpf_fish5.tif,TRAR11xAB,F2,2026-05-19,PTU,0.0001,9,4770.4054,25149,119970925,2033.0306,12998,68842237.9
0.001gL_10dpf_fish1.tif,TRAR11xAB,F2,2026-05-19,PTU,0.0001,10,13973.0642,26325,367840916,6184.1165,4292,205044049
0.001gL_10dpf_fish4.tif,TRAR11xAB,F2,2026-05-19,PTU,0.0001,10,4422.1589,11560,51120157,3535.4692,4508,10250133.4
0.001gL_5dpf_fish10.tif,TRAR11xAB,F2,2026-05-19,PTU,0.001,5,6475.7982,26593,172210901,5245.5034,6264,32717230.3
0.001gL_6dpf_fish5.tif,TRAR11xAB,F2,2026-05-19,PTU,0.001,6,3625.287,16640,60324776,2529.2774,8880,18237600.6
0.001gL_6dpf_fish6.tif,TRAR11xAB,F2,2026-05-19,PTU,0.001,6,11154.8638,20124,224480479,3911.4299,4608,145766864
0.001gL_7dpf_fish1.tif,TRAR11xAB,F2,2026-05-19,PTU,0.001,7,13959.4998,16330,227958631,4702.7724,7917,151162358
0.001gL_8dpf_fish4.tif,TRAR11xAB,F2,2026-05-19,PTU,0.001,8,6107.8537,22172,135423332,5157.936,3720,21061574.5
0.001gL_8dpf_fish6.tif,TRAR11xAB,F2,2026-05-19,PTU,0.001,8,14837.6251,17680,262329212,4328.8427,8748,185795273
0.001gL_8dpf_fish7.tif,TRAR11xAB,F2,2026-05-19,PTU,0.001,8,7464.241,20976,156569919,7890.2697,3960,-8936378.16
0.001gL_9dpf_fish2.tif,TRAR11xAB,F2,2026-05-19,PTU,0.001,9,7183.7578,42768,307234953,7725.8267,4628,-23183203.6
0.01gL_10dpf_fish1.tif,TRAR11xAB,F2,2026-05-19,PTU,0.01,10,5123.777,17622,90291198,4488.9775,3562,11186435.8
0.01gL_10dpf_fish4.tif,TRAR11xAB,F2,2026-05-19,PTU,0.01,10,5604.1167,9272,51961370,4004.2746,3492,14833735.7
