Image,NumParticles,ThyroidArea,ThyroidMean,ThyroidIntDen,BackgroundArea,BackgroundMean,CTCF
0.0001gL_5dpf_fish4.tif,5,3252,32155.6501,104570174,4929,3589.842,92896008
0.0001gL_5dpf_fish5.tif,4,2517,27436.1395,69056763,8798,5410.1288,55439468.9
0.0001gL_6dpf_fish10.tif,4,1616,65501.3175,105850129,15663,3018.1495,100972799
0.0001gL_8dpf_fish4.tif,1,1802,15924.3996,28695768,18172,3237.1814,22862367.2
0.0001gL_9dpf_fish1.tif,4,3096,27223.8795,84285131,17200,2313.2981,77123160.1
0.0001gL_9dpf_fish5.tif,3,4943,10234.6227,50589740,23370,940.9316,45938715
0.001gL_10dpf_fish1.tif,2,3286,37127.4781,122000893,8265,6101.525,101951282
0.001gL_10dpf_fish4.tif,2,560,6391.3786,3579172,14080,2724.9016,2053227.12
0.001gL_5dpf_fish10.tif,3,7853,10193.7988,80051902,9610,4652.4874,43515918.4
0.001gL_6dpf_fish5.tif,3,2513,8051.8667,20234341,16576,2224.5338,14644087.6
0.001gL_6dpf_fish6.tif,3,4521,33986.3256,153652178,13790,3117.9875,139555756
0.001gL_7dpf_fish1.tif,4,4698,31631.5788,148605157,9348,3883.9886,130358179
0.001gL_8dpf_fish4.tif,5,2908,14300.4704,41585768,7344,5531.265,25500849.4
0.001gL_8dpf_fish6.tif,1,612,65498.1373,40084860,7995,4762.055,37170482.3
0.001gL_8dpf_fish7.tif,3,2183,13937.2858,30425095,11388,5090.0191,19313583.4
0.001gL_9dpf_fish2.tif,4,3591,18263.3751,65583780,8374,3921.7835,51500655.5
0.01gL_10dpf_fish1.tif,3,445,7818.5101,3479237,4040,6605.0134,540006.052
0.01gL_10dpf_fish4.tif,3,955,12273.0576,11720770,11194,2094.1612,9720846.09
0.01gL_10dpf_fish5.tif,3,2250,12043.1769,27097148,12420,6664.1857,12102730.2
0.01gL_5dpf_fish4.tif,5,4344,29258.7129,127099849,16617,1804.2509,119262183
0.01gL_6dpf_fish2.tif,2,3011,19719.7722,59376234,7560,5569.9685,42605058.8
0.01gL_6dpf_fish5.tif,1,2048,23794.9102,48731976,10251,5234.012,38012719.4
0.01gL_7dpf_fish4.tif,2,3434,12674.4776,43524156,21539,4765.36,27159909.6
0.01gL_7dpf_fish5.tif,3,834,8013.5887,6683333,4738,2385.5112,4693816.67
0.01gL_8dpf_fish4.tif,1,2019,65503.8405,132252254,8736,6071.6121,119993669
0.01gL_8dpf_fish7.tif,2,3180,17130.8921,54476237,12180,3668.8289,42809361.1
0.01gL_9dpf_fish2.tif,1,805,9803.1665,7891549,12276,6597.4928,2580567.34
0.01gL_9dpf_fish3.tif,5,4486,32712.7697,146749485,9933,2600.8195,135082209
0.01gL_9dpf_fish5.tif,1,810,11683.3346,9463501,8118,1884.8194,7936797.27
0gL_10dpf_fish1.tif,3,35,7684.7429,268966,12896,1526.6283,215534.011
0gL_10dpf_fish2.tif,5,3040,15661.7589,47611747,6348,4719.0972,33265691.5
0gL_10dpf_fish3.tif,1,3521,4850.6089,17078994,13320,1427.5307,12052658.4
0.0001gL_5dpf_fish2.tif,2,3928,38916.027,152862154,11520,7068.3076,125097842
0.1gL_5dpf_fish1.tif,2,20359,9225.394,187819797,17094,8035.5679,24223670.9
0.1gL_5dpf_fish3.tif,5,872,5896.3165,5141588,16366,4959.1675,817193.956
0.1gL_5dpf_fish6.tif,2,184,8867.4022,1631602,4324,7294.3712,289437.702
0.1gL_6dpf_fish6.tif,8,9627,5539.0895,53324815,8085,5096.3967,4261804.35
0.1gL_6dpf_fish7.tif,8,3347,8254.0726,27626381,2728,9666.2342,-4726504.99
0.1gL_6dpf_fish8.tif,2,20705,11790.534,244123007,20296,7866.6593,81243826.3
0.1gL_7dpf_fish3.tif,2,12815,6132.8972,78593078,15345,7352.8607,-15633831.5
0.1gL_7dpf_fish5.tif,1,10,10600.8,106008,17920,6459.5642,41412.3583
0.1gL_7dpf_fish6.tif,4,19084,7232.5122,138025263,20184,5930.144,24854394.4
0.1gL_8dpf_fish2.tif,4,1824,6020.8882,10982100,11297,3839.8068,3978292.46
0.1gL_8dpf_fish4.tif,2,445,7055.427,3139665,6248,5813.1745,552802.367
0.1gL_8dpf_fish6.tif,5,9759,10259.0078,100117657,12328,5800.4935,43510640.8
0.1gL_9dpf_fish1.tif,3,27738,7518.6044,208551048,15408,5309.9505,61263639.8
0.1gL_9dpf_fish5.tif,4,211,9129.7488,1926377,14240,5592.2091,746420.889
0.1gL_9dpf_fish6.tif,0,NA,NA,NA,NA,NA,NA
0.1gL_10dpf_fish2.tif,9,10119,11790.6906,119309998,10283,8694.8326,31326986.6
0.1gL_10dpf_fish4.tif,0,NA,NA,NA,NA,NA,NA
0.1gL_10dpf_fish6.tif,2,85,12653.1176,1075515,15792,6291.9839,540696.367
0gL_5dpf_fish4.tif,2,747,12239.3333,9142782,11256,5108.84,5326478.52
0gL_6dpf_fish10.tif,2,4603,18888.4447,86943511,11234,4959.474,64115052.1
0gL_8dpf_fish5.tif,2,2306,17802.8994,41053486,10120,6154.669,26860819.3
0gL_8dpf_fish6.tif,2,1334,65502.5412,87380390,11033,5901.1829,79508212
0gL_9dpf_fish3.tif,2,4488,34708.2482,155770618,8100,2541.4467,144364605
0gL_9dpf_fish4.tif,2,1606,8142.538,13076916,8160,856.361,11701600.2
0gL_9dpf_fish7.tif,4,1560,9709.7705,15147242,11620,2300.862,11557897.2
