Image,NumParticles,ThyroidArea,ThyroidMean,ThyroidIntDen,BackgroundArea,BackgroundMean,CTCF
0.0001gL_5dpf_fish4.tif,5,3252,32155.6501,104570174,4929,3589.842,92896008
0.0001gL_5dpf_fish5.tif,4,2517,27436.1395,69056763,8798,5410.1288,55439468.9
0.0001gL_6dpf_fish10.tif,4,1616,65501.3175,105850129,15663,3018.1495,100972799
0.0001gL_8dpf_fish4.tif,1,1802,15924.3996,28695768,18172,3237.1814,22862367.2
0.0001gL_9dpf_fish1.tif,4,3096,27223.8795,84285131,17200,2313.2981,77123160.1
0.001gL_10dpf_fish1.tif,2,3286,37127.4781,122000893,8265,6101.525,101951282
0.001gL_5dpf_fish10.tif,3,7853,10193.7988,80051902,9610,4652.4874,43515918.4
0.001gL_6dpf_fish6.tif,3,4521,33986.3256,153652178,13790,3117.9875,139555756
0.001gL_7dpf_fish1.tif,4,4698,31631.5788,148605157,9348,3883.9886,130358179
0.001gL_8dpf_fish4.tif,5,2908,14300.4704,41585768,7344,5531.265,25500849.4
0.001gL_8dpf_fish6.tif,1,612,65498.1373,40084860,7995,4762.055,37170482.3
0.001gL_9dpf_fish2.tif,4,3591,18263.3751,65583780,8374,3921.7835,51500655.5
0.01gL_10dpf_fish1.tif,3,445,7818.5101,3479237,4040,6605.0134,540006.052
0.01gL_10dpf_fish4.tif,3,955,12273.0576,11720770,11194,2094.1612,9720846.09
0.01gL_5dpf_fish4.tif,5,4344,29258.7129,127099849,16617,1804.2509,119262183
0.01gL_6dpf_fish2.tif,2,3011,19719.7722,59376234,7560,5569.9685,42605058.8
0.01gL_6dpf_fish5.tif,1,2048,23794.9102,48731976,10251,5234.012,38012719.4
0.01gL_7dpf_fish5.tif,3,834,8013.5887,6683333,4738,2385.5112,4693816.67
0.01gL_8dpf_fish4.tif,1,2019,65503.8405,132252254,8736,6071.6121,119993669
0.01gL_8dpf_fish7.tif,2,3180,17130.8921,54476237,12180,3668.8289,42809361.1
0.01gL_9dpf_fish3.tif,5,4486,32712.7697,146749485,9933,2600.8195,135082209
0gL_10dpf_fish2.tif,5,3040,15661.7589,47611747,6348,4719.0972,33265691.5
0.0001gL_5dpf_fish2.tif,2,3928,38916.027,152862154,11520,7068.3076,125097842
0.1gL_5dpf_fish3.tif,5,872,5896.3165,5141588,16366,4959.1675,817193.956
0.1gL_6dpf_fish6.tif,8,9627,5539.0895,53324815,8085,5096.3967,4261804.35
0.1gL_7dpf_fish3.tif,2,12815,6132.8972,78593078,15345,7352.8607,-15633831.5
0.1gL_8dpf_fish4.tif,2,445,7055.427,3139665,6248,5813.1745,552802.367
0.1gL_9dpf_fish5.tif,4,211,9129.7488,1926377,14240,5592.2091,746420.889
0.1gL_10dpf_fish6.tif,2,85,12653.1176,1075515,15792,6291.9839,540696.367
0gL_8dpf_fish6.tif,2,1334,65502.5412,87380390,11033,5901.1829,79508212
0gL_9dpf_fish3.tif,2,4488,34708.2482,155770618,8100,2541.4467,144364605
0gL_9dpf_fish7.tif,4,1560,9709.7705,15147242,11620,2300.862,11557897.2
