parental genotype,generation,dob,exposure,concentration (ug/L),plate (#),2 dpf (# hatched),3dpf (# hatched),
TRAR11xAB,F2,2026-05-19,PTU,0,1,0,96.66666667,100
TRAR11xAB,F2,2026-05-19,PTU,0,2,0,100,100
TRAR11xAB,F2,2026-05-19,PTU,0.00001,1,1.666666667,88.33333333,100
TRAR11xAB,F2,2026-05-19,PTU,0.00001,2,0,100,100
TRAR11xAB,F2,2026-05-19,PTU,0.0001,1,5,100,100
TRAR11xAB,F2,2026-05-19,PTU,0.0001,2,10,83.33333333,100
TRAR11xAB,F2,2026-05-19,PTU,0.001,1,3.333333333,96.66666667,100
TRAR11xAB,F2,2026-05-19,PTU,0.001,2,0,93.33333333,100
TRAR11xAB,F2,2026-05-19,PTU,0.01,1,0,71.18644068,100
TRAR11xAB,F2,2026-05-19,PTU,0.01,2,5,93.33333333,100
TRAR11xAB,F2,2026-05-19,PTU,0.1,1,0,11.66666667,100
TRAR11xAB,F2,2026-05-19,PTU,0.1,2,0,98.33333333,98.33333333
