parental genotype,generation,dob,exposure,concentration (ug/L),well,heart rate (b/10sec),heart rate (bpm)
TRAR11xAB,F2,2026-05-19,PTU,0,A1,24,144
TRAR11xAB,F2,2026-05-19,PTU,0.00001,A2,24,144
TRAR11xAB,F2,2026-05-19,PTU,0.0001,A3,19,114
TRAR11xAB,F2,2026-05-19,PTU,0.001,A4,3,18
TRAR11xAB,F2,2026-05-19,PTU,0.01,A5,20,120
TRAR11xAB,F2,2026-05-19,PTU,0.1,A6,22,132
TRAR11xAB,F2,2026-05-19,PTU,0,B1,25,150
TRAR11xAB,F2,2026-05-19,PTU,0.00001,B2,,
TRAR11xAB,F2,2026-05-19,PTU,0.0001,B3,23,138
TRAR11xAB,F2,2026-05-19,PTU,0.001,B4,4,24
TRAR11xAB,F2,2026-05-19,PTU,0.01,B5,24,144
TRAR11xAB,F2,2026-05-19,PTU,0.1,B6,23,138
TRAR11xAB,F2,2026-05-19,PTU,0,C1,,14
TRAR11xAB,F2,2026-05-19,PTU,0.00001,C2,,0
TRAR11xAB,F2,2026-05-19,PTU,0.0001,C3,26,156
TRAR11xAB,F2,2026-05-19,PTU,0.001,C4,18,108
TRAR11xAB,F2,2026-05-19,PTU,0.01,C5,23,138
TRAR11xAB,F2,2026-05-19,PTU,0.1,C6,25,150
TRAR11xAB,F2,2026-05-19,PTU,0,D1,23,138
TRAR11xAB,F2,2026-05-19,PTU,0.00001,D2,,0
TRAR11xAB,F2,2026-05-19,PTU,0.0001,D3,21,126
TRAR11xAB,F2,2026-05-19,PTU,0.001,D4,20,120
TRAR11xAB,F2,2026-05-19,PTU,0.01,D5,22,132
TRAR11xAB,F2,2026-05-19,PTU,0.1,D6,19,114
TRAR11xAB,F2,2026-05-19,PTU,0,E1,5,30
TRAR11xAB,F2,2026-05-19,PTU,0.00001,E2,25,150
TRAR11xAB,F2,2026-05-19,PTU,0.0001,E3,26,156
TRAR11xAB,F2,2026-05-19,PTU,0.001,E4,23,138
TRAR11xAB,F2,2026-05-19,PTU,0.01,E5,19,114
TRAR11xAB,F2,2026-05-19,PTU,0.1,E6,21,126
TRAR11xAB,F2,2026-05-19,PTU,0,F1,22,132
TRAR11xAB,F2,2026-05-19,PTU,0.00001,F2,,0
TRAR11xAB,F2,2026-05-19,PTU,0.0001,F3,14,84
TRAR11xAB,F2,2026-05-19,PTU,0.001,F4,21,126
TRAR11xAB,F2,2026-05-19,PTU,0.01,F5,24,144
TRAR11xAB,F2,2026-05-19,PTU,0.1,F6,21,126
