parental genotype,generation,dob,exposure,concentration (ug/L),plate (#),1 dpf (% survival),2 dpf (% survival),3 dpf (% survival),4 dpf (% survival),5 dpf (% survival),6 dpf (% survival),7 dpf (% survival),8 dpf (% survival),9 dpf (% survival),10 dpf (% survival)
TRAR11xAB,F2,2026-05-19,PTU,0,1,100,100,100,100,100,98.33333333,98.33333333,91.66666667,91.66666667,91.66666667
TRAR11xAB,F2,2026-05-19,PTU,0,2,100,100,100,100,100,90,90,90,90,90
TRAR11xAB,F2,2026-05-19,PTU,0.0001,1,100,100,100,100,100,100,96.66666667,96.66666667,96.66666667,93.33333333
TRAR11xAB,F2,2026-05-19,PTU,0.0001,2,100,100,100,100,100,100,96.66666667,96.66666667,93.33333333,91.66666667
TRAR11xAB,F2,2026-05-19,PTU,0.001,1,100,100,100,100,100,100,96.66666667,96.66666667,96.66666667,93.33333333
TRAR11xAB,F2,2026-05-19,PTU,0.001,2,100,100,100,100,100,100,100,98.33333333,98.33333333,96.66666667
TRAR11xAB,F2,2026-05-19,PTU,0.01,1,100,98.33333333,98.33333333,98.33333333,98.33333333,98.33333333,95,95,95,95
TRAR11xAB,F2,2026-05-19,PTU,0.01,2,100,100,100,100,100,100,96.66666667,96.66666667,96.66666667,95
TRAR11xAB,F2,2026-05-19,PTU,0.1,1,100,100,100,100,100,100,100,98.33333333,95,91.66666667
TRAR11xAB,F2,2026-05-19,PTU,0.1,2,100,100,100,100,100,98.33333333,98.33333333,98.33333333,98.33333333,90
